S.No,data,type,sensedAt,id_sensor
74,29,temp,2025-06-17T06:19:12,66ce60b3fb392de5096acc24
75,50,humidity,2025-06-17T06:19:12,66ce60b3fb392de5096acc24
76,200,co2-concentration,2025-06-17T06:22:15,66ce60b3fb392de5096acc24
77,29,temp,2025-06-17T06:22:15,66ce60b3fb392de5096acc24
78,50,humidity,2025-06-17T06:22:15,66ce60b3fb392de5096acc24
79,200,co2-concentration,2025-06-17T06:25:17,66ce60b3fb392de5096acc24
80,29,temp,2025-06-17T06:25:17,66ce60b3fb392de5096acc24
81,50,humidity,2025-06-17T06:25:17,66ce60b3fb392de5096acc24
82,200,co2-concentration,2025-06-17T06:28:20,66ce60b3fb392de5096acc24
83,29,temp,2025-06-17T06:28:20,66ce60b3fb392de5096acc24
84,50,humidity,2025-06-17T06:28:20,66ce60b3fb392de5096acc24
85,200,co2-concentration,2025-06-17T06:31:23,66ce60b3fb392de5096acc24
86,29,temp,2025-06-17T06:31:23,66ce60b3fb392de5096acc24
87,50,humidity,2025-06-17T06:31:23,66ce60b3fb392de5096acc24
88,200,co2-concentration,2025-06-17T06:34:25,66ce60b3fb392de5096acc24
89,29,temp,2025-06-17T06:34:25,66ce60b3fb392de5096acc24
90,50,humidity,2025-06-17T06:34:25,66ce60b3fb392de5096acc24
91,200,co2-concentration,2025-06-17T06:37:28,66ce60b3fb392de5096acc24
92,29,temp,2025-06-17T06:37:28,66ce60b3fb392de5096acc24
93,50,humidity,2025-06-17T06:37:28,66ce60b3fb392de5096acc24
94,200,co2-concentration,2025-06-17T06:43:39,66ce60b3fb392de5096acc24
95,29,temp,2025-06-17T06:43:39,66ce60b3fb392de5096acc24
96,50,humidity,2025-06-17T06:43:39,66ce60b3fb392de5096acc24
97,200,co2-concentration,2025-06-17T06:46:42,66ce60b3fb392de5096acc24
98,29,temp,2025-06-17T06:46:42,66ce60b3fb392de5096acc24
99,50,humidity,2025-06-17T06:46:42,66ce60b3fb392de5096acc24
100,200,co2-concentration,2025-06-17T06:49:45,66ce60b3fb392de5096acc24
101,29,temp,2025-06-17T06:49:45,66ce60b3fb392de5096acc24
102,50,humidity,2025-06-17T06:49:45,66ce60b3fb392de5096acc24
103,200,co2-concentration,2025-06-17T06:52:49,66ce60b3fb392de5096acc24
104,29,temp,2025-06-17T06:52:49,66ce60b3fb392de5096acc24
105,50,humidity,2025-06-17T06:52:49,66ce60b3fb392de5096acc24
106,200,co2-concentration,2025-06-17T06:55:52,66ce60b3fb392de5096acc24
107,29,temp,2025-06-17T06:55:52,66ce60b3fb392de5096acc24
108,50,humidity,2025-06-17T06:55:52,66ce60b3fb392de5096acc24
109,200,co2-concentration,2025-06-17T06:58:54,66ce60b3fb392de5096acc24
110,29,temp,2025-06-17T06:58:54,66ce60b3fb392de5096acc24
111,50,humidity,2025-06-17T06:58:54,66ce60b3fb392de5096acc24
112,200,co2-concentration,2025-06-17T07:01:57,66ce60b3fb392de5096acc24
113,29,temp,2025-06-17T07:01:57,66ce60b3fb392de5096acc24
114,50,humidity,2025-06-17T07:01:57,66ce60b3fb392de5096acc24
115,200,co2-concentration,2025-06-17T07:04:59,66ce60b3fb392de5096acc24
116,29,temp,2025-06-17T07:04:59,66ce60b3fb392de5096acc24
117,50,humidity,2025-06-17T07:04:59,66ce60b3fb392de5096acc24
118,200,co2-concentration,2025-06-17T07:08:02,66ce60b3fb392de5096acc24
119,29,temp,2025-06-17T07:08:02,66ce60b3fb392de5096acc24
120,50,humidity,2025-06-17T07:08:02,66ce60b3fb392de5096acc24
121,200,co2-concentration,2025-06-17T07:11:05,66ce60b3fb392de5096acc24
122,29,temp,2025-06-17T07:11:05,66ce60b3fb392de5096acc24
123,50,humidity,2025-06-17T07:11:05,66ce60b3fb392de5096acc24
124,200,co2-concentration,2025-06-17T07:14:09,66ce60b3fb392de5096acc24
125,29,temp,2025-06-17T07:14:09,66ce60b3fb392de5096acc24
126,50,humidity,2025-06-17T07:14:09,66ce60b3fb392de5096acc24
127,200,co2-concentration,2025-06-17T07:17:13,66ce60b3fb392de5096acc24
128,29,temp,2025-06-17T07:17:13,66ce60b3fb392de5096acc24
129,50,humidity,2025-06-17T07:17:13,66ce60b3fb392de5096acc24
130,200,co2-concentration,2025-06-17T07:20:15,66ce60b3fb392de5096acc24
131,29,temp,2025-06-17T07:20:15,66ce60b3fb392de5096acc24
132,50,humidity,2025-06-17T07:20:15,66ce60b3fb392de5096acc24
133,200,co2-concentration,2025-06-17T07:23:18,66ce60b3fb392de5096acc24
134,29,temp,2025-06-17T07:23:18,66ce60b3fb392de5096acc24
135,50,humidity,2025-06-17T07:23:18,66ce60b3fb392de5096acc24
136,200,co2-concentration,2025-06-17T07:26:20,66ce60b3fb392de5096acc24
137,29,temp,2025-06-17T07:26:20,66ce60b3fb392de5096acc24
138,50,humidity,2025-06-17T07:26:20,66ce60b3fb392de5096acc24
139,200,co2-concentration,2025-06-17T07:29:23,66ce60b3fb392de5096acc24
140,29,temp,2025-06-17T07:29:23,66ce60b3fb392de5096acc24
141,50,humidity,2025-06-17T07:29:23,66ce60b3fb392de5096acc24
142,200,co2-concentration,2025-06-17T07:32:27,66ce60b3fb392de5096acc24
143,29,temp,2025-06-17T07:32:27,66ce60b3fb392de5096acc24
144,50,humidity,2025-06-17T07:32:27,66ce60b3fb392de5096acc24
145,200,co2-concentration,2025-06-17T07:35:32,66ce60b3fb392de5096acc24
146,29,temp,2025-06-17T07:35:32,66ce60b3fb392de5096acc24
147,50,humidity,2025-06-17T07:35:32,66ce60b3fb392de5096acc24
148,200,co2-concentration,2025-06-17T07:38:35,66ce60b3fb392de5096acc24
149,29,temp,2025-06-17T07:38:35,66ce60b3fb392de5096acc24
150,50,humidity,2025-06-17T07:38:35,66ce60b3fb392de5096acc24
151,200,co2-concentration,2025-06-17T07:41:37,66ce60b3fb392de5096acc24
152,29,temp,2025-06-17T07:41:37,66ce60b3fb392de5096acc24
153,50,humidity,2025-06-17T07:41:37,66ce60b3fb392de5096acc24
154,200,co2-concentration,2025-06-17T07:44:40,66ce60b3fb392de5096acc24
155,29,temp,2025-06-17T07:44:40,66ce60b3fb392de5096acc24
156,50,humidity,2025-06-17T07:44:40,66ce60b3fb392de5096acc24
157,200,co2-concentration,2025-06-17T07:47:42,66ce60b3fb392de5096acc24
158,29,temp,2025-06-17T07:47:42,66ce60b3fb392de5096acc24
159,50,humidity,2025-06-17T07:47:42,66ce60b3fb392de5096acc24
160,200,co2-concentration,2025-06-17T07:50:45,66ce60b3fb392de5096acc24
161,29,temp,2025-06-17T07:50:45,66ce60b3fb392de5096acc24
162,50,humidity,2025-06-17T07:50:45,66ce60b3fb392de5096acc24
