S.No,data,type,sensedAt,id_sensor
74,30,temp,2025-06-17T06:13:38,66ce6057fb392de5096aca27
75,53,humidity,2025-06-17T06:13:38,66ce6057fb392de5096aca27
76,3440.99,co2-concentration,2025-06-17T06:16:41,66ce6057fb392de5096aca27
77,30,temp,2025-06-17T06:16:41,66ce6057fb392de5096aca27
78,53,humidity,2025-06-17T06:16:41,66ce6057fb392de5096aca27
79,3440.99,co2-concentration,2025-06-17T06:19:43,66ce6057fb392de5096aca27
80,30,temp,2025-06-17T06:19:43,66ce6057fb392de5096aca27
81,53,humidity,2025-06-17T06:19:43,66ce6057fb392de5096aca27
82,2663.33,co2-concentration,2025-06-17T06:22:45,66ce6057fb392de5096aca27
83,30,temp,2025-06-17T06:22:45,66ce6057fb392de5096aca27
84,53,humidity,2025-06-17T06:22:45,66ce6057fb392de5096aca27
85,3440.99,co2-concentration,2025-06-17T06:25:48,66ce6057fb392de5096aca27
86,30,temp,2025-06-17T06:25:48,66ce6057fb392de5096aca27
87,53,humidity,2025-06-17T06:25:48,66ce6057fb392de5096aca27
88,3440.99,co2-concentration,2025-06-17T06:28:50,66ce6057fb392de5096aca27
89,30,temp,2025-06-17T06:28:50,66ce6057fb392de5096aca27
90,54,humidity,2025-06-17T06:28:50,66ce6057fb392de5096aca27
91,3440.99,co2-concentration,2025-06-17T06:31:52,66ce6057fb392de5096aca27
92,30,temp,2025-06-17T06:31:52,66ce6057fb392de5096aca27
93,54,humidity,2025-06-17T06:31:52,66ce6057fb392de5096aca27
94,3234.91,co2-concentration,2025-06-17T06:34:55,66ce6057fb392de5096aca27
95,30,temp,2025-06-17T06:34:55,66ce6057fb392de5096aca27
96,54,humidity,2025-06-17T06:34:55,66ce6057fb392de5096aca27
97,3440.99,co2-concentration,2025-06-17T06:35:01,66ce6057fb392de5096aca27
98,30,temp,2025-06-17T06:35:01,66ce6057fb392de5096aca27
99,54,humidity,2025-06-17T06:35:01,66ce6057fb392de5096aca27
100,3440.99,co2-concentration,2025-06-17T06:38:03,66ce6057fb392de5096aca27
101,30,temp,2025-06-17T06:38:03,66ce6057fb392de5096aca27
102,54,humidity,2025-06-17T06:38:03,66ce6057fb392de5096aca27
103,3440.99,co2-concentration,2025-06-17T06:41:05,66ce6057fb392de5096aca27
104,30,temp,2025-06-17T06:41:05,66ce6057fb392de5096aca27
105,54,humidity,2025-06-17T06:41:05,66ce6057fb392de5096aca27
106,2574.69,co2-concentration,2025-06-17T06:44:07,66ce6057fb392de5096aca27
107,30,temp,2025-06-17T06:44:07,66ce6057fb392de5096aca27
108,54,humidity,2025-06-17T06:44:07,66ce6057fb392de5096aca27
109,3336.96,co2-concentration,2025-06-17T06:47:10,66ce6057fb392de5096aca27
110,30,temp,2025-06-17T06:47:10,66ce6057fb392de5096aca27
111,54,humidity,2025-06-17T06:47:10,66ce6057fb392de5096aca27
112,2940.5,co2-concentration,2025-06-17T06:50:12,66ce6057fb392de5096aca27
113,30,temp,2025-06-17T06:50:12,66ce6057fb392de5096aca27
114,54,humidity,2025-06-17T06:50:12,66ce6057fb392de5096aca27
115,3336.96,co2-concentration,2025-06-17T06:53:15,66ce6057fb392de5096aca27
116,30,temp,2025-06-17T06:53:15,66ce6057fb392de5096aca27
117,54,humidity,2025-06-17T06:53:15,66ce6057fb392de5096aca27
118,3336.96,co2-concentration,2025-06-17T06:56:17,66ce6057fb392de5096aca27
119,30,temp,2025-06-17T06:56:17,66ce6057fb392de5096aca27
120,54,humidity,2025-06-17T06:56:17,66ce6057fb392de5096aca27
121,2238.4,co2-concentration,2025-06-17T06:59:19,66ce6057fb392de5096aca27
122,30,temp,2025-06-17T06:59:19,66ce6057fb392de5096aca27
123,54,humidity,2025-06-17T06:59:19,66ce6057fb392de5096aca27
124,3440.99,co2-concentration,2025-06-17T07:02:22,66ce6057fb392de5096aca27
